0.000000,0.000000
0.000023,0.014145
0.000045,0.055199
0.000068,0.119251
0.000091,0.200486
0.000113,0.292092
0.000136,0.387251
0.000159,0.480035
0.000181,0.566039
0.000204,0.642664
0.000227,0.709044
0.000249,0.765696
0.000272,0.814006
0.000295,0.855705
0.000317,0.892444
0.000340,0.925545
0.000363,0.955931
0.000385,0.984174
0.000408,1.010580
0.000431,1.035220
0.000454,1.057847
0.000476,1.077701
0.000499,1.093247
0.000522,1.101962
0.000544,1.100284
0.000567,1.083801
0.000590,1.047750
0.000612,0.987755
0.000635,0.900712
0.000658,0.785624
0.000680,0.644216
0.000703,0.481152
0.000726,0.303770
0.000748,0.121348
0.000771,-0.056001
0.000794,-0.218580
0.000816,-0.358301
0.000839,-0.469569
0.000862,-0.549726
0.000884,-0.598965
0.000907,-0.619800
0.000930,-0.616220
0.000952,-0.592734
0.000975,-0.553540
0.000998,-0.501957
0.001020,-0.440213
0.001043,-0.369581
0.001066,-0.290741
0.001088,-0.204224
0.001111,-0.110783
0.001134,-0.011575
0.001156,0.091883
0.001179,0.197912
0.001202,0.304928
0.001224,0.411583
0.001247,0.516680
0.001270,0.618794
0.001293,0.715667
0.001315,0.803496
0.001338,0.876366
0.001361,0.926037
0.001383,0.942286
0.001406,0.913863
0.001429,0.829990
0.001451,0.682168
0.001474,0.465953
0.001497,0.182319
0.001519,-0.161726
0.001542,-0.553480
0.001565,-0.975851
0.001587,-1.409444
0.001610,-1.835058
0.001633,-2.236155
0.001655,-2.600819
0.001678,-2.922876
0.001701,-3.202007
0.001723,-3.442891
0.001746,-3.653661
0.001769,-3.844050
0.001791,-4.023659
0.001814,-4.200686
0.001837,-4.381324
0.001859,-4.569777
0.001882,-4.768688
0.001905,-4.979607
0.001927,-5.203130
0.001950,-5.438433
0.001973,-5.682117
0.001995,-5.926545
0.002018,-6.158068
0.002041,-6.355752
0.002063,-6.491148
0.002086,-6.529581
0.002109,-6.433146
0.002132,-6.165193
0.002154,-5.695735
0.002177,-5.006941
0.002200,-4.097666
0.002222,-2.986126
0.002245,-1.710003
0.002268,-0.323755
0.002290,1.106615
0.002313,2.510608
0.002336,3.820997
0.002358,4.981096
0.002381,5.950372
0.002404,6.707590
0.002426,7.251104
